Species,Spcode 
Picradeniopsis_oppositifolia,337
Rhus_glabra,339
Solanum_triflorum,340
Sonchus_asper,341
Sporobolus_heterolepis,342
Stenaria_nigricans,343
Tetraneuris_acaulis,344
unk_fall_opposite_leaf,345
Tradescantia_bracteata,346
Ulmus_americana,347
Panicum_sp.,348
Polygonum_sp.,349
seedling_unknown,350
unk_Aristida,351
Astragalus_sp.,353
Chaetopappa_ericoides,354
Silene_sp.,355
unk_oenotheria,358
unk_Townsendia_grandiflora,359
Unknown_rosette,361
Unknown_whorled_linear,362
panicum_unknown,363
unk_Clover,364
Unknown_woody,367
Thelesperma_megapotamicum,368
unk_Milky_waxy,369
unk_mustard_unknown,370
unk_Oenothera,371
oxytopis_like_legume,372
unk_Tall_astragulus,373
unk_alternate_leaf_forb,375
unk_alternate_strong_midvein_hairy_margin,376
Astragalus_sp.,378
Desmodium_illinoense,379
Festuca_unknown,382
huge_penstemon,383
unk_juicy_forb,384
unk_Lepidium_like_forb,385
unk_Oerothera_rosette,386
unk_Oxytropis_sp.,387
Panicum_capillare,388
Plantago_lanceolata,389
unk_Primrose_like,390
unk_Red_edged_forb,391
unk_Three_Leaf_Unknown_forb,395
unknown_shiny_alternate,397
Ulmus_sp.,398
Unknown_Cirsium,401
Unknown_Erysimum,402
unknown_forb_tooth,403
unknown_machearanthera,405
unknown_pinnately_lobed,406
unknown_short_alternate,409
unknown,410
ASOX,502
Sporobolus_sp.,503
Astragalus_unknown,504
Croton_sp.,507
UNK_Aster_rosette,508
unk_rush_unknown,509
unknown_forb,701
