"","site","species","resp.ratio.site_D4","resp.ratio.site_D6","resp.ratio.site_PDfull","resp.ratio.site_PDfirst","resp.ratio.site_PDfinal","SE.RII_D4","SE.RII_D6","SE.RII_PDfull","SE.RII_PDfirst","SE.RII_PDfinal","persistence.site","mean.ctrl.cov","percrank","absrank","spatial_rarity","temporal_rarity"
"45","CHY","Liatris_punctata",0.466666666666667,0.466666666666667,0.48,0.411764705882353,0.448275862068966,0.0274943085643296,0.0274943085643296,0.0223082709547738,0.0548031655496632,0.0463455709571612,0.8,0.0524999999999998,0.337662337662338,27.5,0.662337662337662,0.2
"46","CHY","Linaria_dalmatica",0.283185840707965,0.283185840707965,0.633144475920681,0.621722846441948,0.640091116173121,0.00760236750547283,0.00760236750547283,0.00315626045693213,0.00546332836837633,0.0054470891070688,0.7,0.850000000000004,0.831168831168831,65,0.168831168831169,0.3
"47","CHY","Lygodesmia_juncea",0.0973451327433627,0.0973451327433627,-0.247524752475248,-0.1875,-0.283018867924528,0.0121952499479873,0.0121952499479873,0.0107801187253443,0.027252486989468,0.0240852172848637,1,0.3075,0.714285714285714,56,0.285714285714286,0
"48","CHY","Machaeranthera_pinnatifida",-0.0399999999999999,-0.0399999999999999,-0.303030303030303,-0.354838709677419,-0.333333333333333,0.0326010686792454,0.0326010686792454,0.0223948222096992,0.057815055338773,0.0480939344303411,1,0.18,0.636363636363636,50,0.363636363636364,0
"49","CHY","Machaeranthera_tanacetifolia",-1,-1,-0.75,NA,-0.75,0,0,0.0839254868090458,NA,0.0838360363924052,0.3,0.0249999999999999,0.233766233766234,19,0.766233766233766,0.7
"50","CHY","Mertensia_lanceolata",-0.173913043478261,-0.173913043478261,-0.147058823529412,-0.180555555555556,-0.0887573964497039,0.00504015993448571,0.00504015993448571,0.00481520452624109,0.00915503086020326,0.0110065887256954,1,0.832499999999999,0.818181818181818,64,0.181818181818182,0
"51","CHY","Mirabilis_linearis",-0.125,-0.125,0.191489361702127,-0.111111111111111,0.263157894736842,0.036875214966588,0.036875214966588,0.0290765856029437,0.104954670772246,0.0337425824587565,0.9,0.1025,0.532467532467532,42,0.467532467532468,0.1
"52","CHY","Musineon_divaricatum",0.0888888888888889,0.0888888888888889,0.178947368421053,0.169811320754717,0.170731707317073,0.0113563904873375,0.0113563904873375,0.0148669747090283,0.0239870634444758,0.0370470741209855,0.9,0.2225,0.688311688311688,54,0.311688311688312,0.1
"53","CHY","Nassella_viridula",-1,-1,-1,-1,NA,0,0,0,0,NA,0.2,0.01,0.181818181818182,15,0.818181818181818,0.8
"54","CHY","Oenothera_albicaulis",-1,-1,NA,NA,NA,0,0,NA,NA,NA,0.1,0.005,0.142857142857143,12,0.857142857142857,0.9
"55","CHY","Oenothera_coronopifolia",0.404255319148937,0.404255319148937,0.166666666666667,0.0344827586206897,0.368421052631579,0.0242976600701315,0.0242976600701315,0.0324733234071592,0.0673930485688293,0.0525254146067175,0.8,0.0925000000000001,0.454545454545455,36.5,0.545454545454545,0.2
"56","CHY","Oenothera_suffrutescens",0.624161073825503,0.624161073825503,0.425287356321839,0.567567567567568,0.310344827586207,0.00575575848326969,0.00575575848326969,0.0108599303472457,0.0239827010795629,0.0366960661741894,0.9,0.14,0.571428571428571,45,0.428571428571429,0.1
"57","CHY","Orobanche_sp.",-0.473684210526316,-0.473684210526316,0.555555555555556,0.555555555555556,NA,0.0391872241541556,0.0391872241541556,0.090708074743478,0.0895818984061937,NA,0.5,0.04,0.311688311688312,25,0.688311688311688,0.5
"58","CHY","Oxytropis_lambertii",1,1,NA,NA,NA,0,0,NA,NA,NA,0,0,0,4,1,1
"59","CHY","Paronychia_sp.",1,1,1,1,NA,0,0,0,0,NA,0,0,0,4,1,1
"60","CHY","Pascopyrum_smithii",-0.0436452067067708,-0.0436452067067708,0.211973121563836,0.264608599779493,0.324205378973105,0.00101750939558008,0.00101750939558008,0.0012891475751904,0.0029108687335739,0.00343050534243773,1,16.1675,0.974025974025974,76,0.025974025974026,0
"61","CHY","Penstemon_albidus",-0.239766081871345,-0.239766081871345,-0.36,-0.200000000000001,-0.473684210526316,0.00763538104926847,0.00763538104926847,0.0107138186934673,0.0312528832630099,0.0390855724409416,0.9,0.474999999999999,0.766233766233766,60,0.233766233766234,0.1
"62","CHY","Phlox_hoodii",0.776315789473684,0.776315789473684,0.635514018691589,0.666666666666667,0.621621621621622,0.0111805912240634,0.0111805912240634,0.0236556395718844,0.0580368105985948,0.0512818761378645,1,0.145,0.61038961038961,48,0.38961038961039,0
"63","CHY","Picradeniopsis_oppositifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,1,1
"64","CHY","Plantago_patagonica",0.0703703703703693,0.0703703703703693,-0.199999999999999,-0.219298245614035,-0.0625,0.0264803034686078,0.0264803034686078,0.0172853855074187,0.0192497214350732,0.0269805328755439,0.9,1.0225,0.857142857142857,67,0.142857142857143,0.1
"65","CHY","Poa_pratensis",1,1,0.6,0.6,NA,0,0,0.12761407035176,0.127027848101266,NA,0.1,0.00500000000000002,0.168831168831169,14,0.831168831168831,0.9
"66","CHY","Polygala_verticillata",2.08166817117216e-16,2.08166817117216e-16,NA,NA,NA,0.499999999999998,0.499999999999998,NA,NA,NA,0.1,0.0025,0.0909090909090909,8,0.909090909090909,0.9
