"","site","mean_ppt","se_ppt","site.name.full","grassland.type","MAP.mm","MAT.C","soil.field.capacity","BP.dom.site","se.dom.site","aridity","mean_temp","sd_temp","mean_ppt_across","sd_ppt","z_precip","z_temp","dom.rounded","mean_soil","sd_soil","z_soil"
"1","SBK",138.973040495,14.4425425007145,"Sevilleta Black Grama","Desert",244,13.4,30,0.669922471389641,0.0192937023032348,0.117,11.5833333333333,2.32500896055621,305.547938397639,190.000652906764,-0.876706976288023,0.781358995808802,0.67,29.3333333333333,7.28468713581213,0.0915161700478912
"2","SBL",150.334464890833,17.7514507175881,"Sevilleta Blue Grama","Shortgrass",257,13.4,27,0.543895522118238,0.0125674069726091,0.1277,11.5833333333333,2.32500896055621,305.547938397639,190.000652906764,-0.816910211266334,0.781358995808802,0.544,29.3333333333333,7.28468713581213,-0.320306595167618
"3","CHY",238.91325,17.1211155883918,"High Plains Grassland","Mixed-Grass",415,7.9,29,0.315090453923886,0.0100372162873513,0.2431,11.5833333333333,2.32500896055621,305.547938397639,190.000652906764,-0.350707681148536,-1.58422328508023,0.315,29.3333333333333,7.28468713581213,-0.0457580850239453
"4","HYS",500.1305,40.5372820935952,"Hays Agricultural Research Center","Mixed-Grass",581,12.3,35,0.384887572987186,0.0116276329378393,0.3261,11.5833333333333,2.32500896055621,305.547938397639,190.000652906764,1.02411522605581,0.308242539630995,0.385,29.3333333333333,7.28468713581213,0.777887445407074
"5","KNZ",586.2795,66.8280624777923,"Konza Prairie","Tallgrass",864,13,38,0.387453772451356,0.00977643879205525,0.5769,11.5833333333333,2.32500896055621,305.547938397639,190.000652906764,1.47752945743887,0.609316648107781,0.387,29.3333333333333,7.28468713581213,1.18971021062258
"6","SGS",218.656875,17.7393109479619,"Shortgrass Steppe","Shortgrass",366,9.5,17,0.444972666138589,0.0170191269411235,0.2129,11.5833333333333,2.32500896055621,305.547938397639,190.000652906764,-0.457319814791783,-0.89605389427615,0.445,29.3333333333333,7.28468713581213,-1.69304914588598
