"","period","rarity","type","F","Df","Df.res","Pr(>F)"
"1","Drought","Spatial","spatial_rarity",24.7,1,333,0
"2","Drought","Temporal","temporal_rarity",70.276,1,396.784,0
"3","Post-Drought","Spatial","spatial_rarity1",52.351,1,418.978,0
"4","Post-Drought","Temporal","temporal_rarity1",40.665,1,373.641,0
