"","rarity","period","type","Estimate","Std. Error","df","t value","Pr(>|t|)"
"1","Spatial","Initial","(Intercept)",-0.256315937880621,0.0788841205556744,15.011981079608,-3.24927166678267,0.00538663675154236
"2","Spatial","Initial","spatial_rarity",0.7880805743978,0.123134506473753,348.252349591337,6.40016025536909,5.0143787786639e-10
"3","Spatial","Final","(Intercept)1",-0.140172938177944,0.0914219478450507,9.42194663756137,-1.53325258848696,0.158077234286446
"4","Spatial","Final","spatial_rarity1",0.667687276442003,0.117338387892615,347.629542603542,5.6902714314863,2.69632040549474e-08
"5","Temporal","Initial","(Intercept)2",-0.161776953041008,0.0679474877885954,9.94736114094567,-2.38091147010973,0.0386760011106394
"6","Temporal","Initial","temporal_rarity",0.626953209607436,0.104115308636506,328.866358254482,6.02171974340774,4.61349277102093e-09
"7","Temporal","Final","(Intercept)3",-0.0852082674132741,0.0652545683086047,9.5186050056781,-1.30578240913806,0.222301815973306
"8","Temporal","Final","temporal_rarity1",0.594535025526528,0.0964700871935045,285.038329930106,6.16289507786989,2.43106860288498e-09
