"period","rarity","type","Estimate","Std. Error","df","t value","Pr(>|t|)"
"Drought","Spatial","(Intercept)",-0.302823547402524,0.0888344063157292,9.15268683965639,-3.40885429375472,0.00757592566633974
"Drought","Spatial","spatial_rarity",0.86135212522882,0.102316644411627,385.888992578455,8.41849466606369,7.56207741748003e-16
"Drought","Temporal","(Intercept)1",-0.217813845519536,0.0640866758596059,10.0783051358933,-3.39873838981287,0.00671125486824238
"Drought","Temporal","temporal_rarity",0.730248759971717,0.0854239698376924,389.094483973693,8.54852287196682,2.87967636144001e-16
"Post-Drought","Spatial","(Intercept)2",-0.232554388228402,0.0809419078928595,11.4738904973532,-2.87310238024322,0.0145836687914029
"Post-Drought","Spatial","spatial_rarity1",0.77274802227957,0.103168210141548,403.906307245736,7.49017571613726,4.37080095470045e-13
"Post-Drought","Temporal","(Intercept)3",-0.134331869940637,0.0646049667437526,11.4270062040443,-2.07928084652449,0.0608430281758438
"Post-Drought","Temporal","temporal_rarity1",0.59891952845522,0.0878671297416172,363.452091310392,6.81619543299534,3.90174573931004e-11
