site,species,spatial_rarity,temporal_rarity,FunctionalGroup,rarity_cat
SBL,Lotus_plebeius,0.135416667,0.416666667,forb,"Common (S), Persistent (T)"
SBL,Munroa_squarrosa,0.59375,0.916666667,grass,"Sparse (S), Intermittent (T)"
SBL,Machaeranthera_tanacetifolia,1,1,forb,"Sparse (S), Intermittent (T)"
SBL,Mentzelia_albicaulis,1,1,forb,"Sparse (S), Intermittent (T)"
SBL,Selinocarpus_diffusus,0.6875,0.916666667,shrub,"Sparse (S), Intermittent (T)"
SBL,Panicum_hirticaule,0.604166667,0.916666667,grass,"Sparse (S), Intermittent (T)"
SBL,Nama_dichotomum,1,1,forb,"Sparse (S), Intermittent (T)"
SBL,Pectis_angustifolia,1,1,forb,"Sparse (S), Intermittent (T)"
SBL,Phemeranthus_longipes,1,1,forb,"Sparse (S), Intermittent (T)"
SBL,Muhlenbergia_arenicola,0.145833333,0.166666667,grass,"Common (S), Persistent (T)"
SBL,Enneapogon_desvauxii,1,1,grass,"Sparse (S), Intermittent (T)"
SBL,Portulaca_halimoides,1,1,forb,"Sparse (S), Intermittent (T)"
SBL,Portulaca_oleracea,1,1,forb,"Sparse (S), Intermittent (T)"
SBL,Grusonia_clavata,0.71875,0.916666667,shrub,"Sparse (S), Intermittent (T)"
SBL,Sphaeralcea_hastulata,0.166666667,0.166666667,shrub,"Common (S), Persistent (T)"
SBL,Schkuhria_multiflora,1,1,forb,"Sparse (S), Intermittent (T)"
SBL,Lycurus_phleoides,1,1,grass,"Sparse (S), Intermittent (T)"
SBL,Psilostrophe_tagetina,0.75,0.916666667,shrub,"Sparse (S), Intermittent (T)"
SBL,Chamaesaracha_coronopus,1,1,shrub,"Sparse (S), Intermittent (T)"
SBL,Senna_bauhinioides,0.4375,0.333333333,shrub,"Sparse (S), Persistent (T)"
SBL,Gaillardia_pinnatifida,1,1,shrub,"Sparse (S), Intermittent (T)"
SBL,Gutierrezia_sarothrae,0.177083333,0.416666667,shrub,"Common (S), Persistent (T)"
SBL,Gilia_mexicana,0.125,0.75,forb,"Common (S), Intermittent (T)"
SBL,Euphorbia_exstipulata,0.1875,0.416666667,forb,"Common (S), Persistent (T)"
SBL,Astragalus_sp,0.197916667,0,forb,"Common (S), Persistent (T)"
SBL,Townsendia_annua,1,1,forb,"Sparse (S), Intermittent (T)"
SBL,Scleropogon_brevifolius,1,1,grass,"Sparse (S), Intermittent (T)"
SBL,Yucca_glauca,1,1,shrub,"Sparse (S), Intermittent (T)"
SBL,Zinnia_grandiflora,0.302083333,0,shrub,"Sparse (S), Persistent (T)"
