"period","site","term","estimate","conf.low","conf.high","std.error","statistic","p.value","signif"
"Drought","KNZ","(Intercept)",-0.211146218877446,-1.81763572482345,1.39534328706856,0.803395958119822,-0.262817128644248,0.793577171750424," "
"Drought","KNZ","spatial_rarity",-0.284600154237796,-2.75740293101321,2.18820262253762,1.23663413220928,-0.230140950201133,0.818752285015183," "
"Drought","KNZ","Durationperennial",-0.321967294025085,-1.95362443012448,1.30968984207431,0.815982142010754,-0.394576397507535,0.694531753664296," "
"Drought","KNZ","spatial_rarity:Durationperennial",1.50739166808883,-1.0191547207013,4.03393805687895,1.26351099664416,1.19301824209872,0.237481956806446," "
"Drought","HYS","(Intercept)",0.255895217509753,-0.287188883376283,0.79897931839579,0.273144327705374,0.936849831953214,0.351490065490765," "
"Drought","HYS","spatial_rarity",0.598682048453217,-0.233040667419471,1.43040476432591,0.418315214335479,1.43117445394441,0.156046692087325," "
"Drought","HYS","Durationperennial",-0.70029884879464,-1.28716850314368,-0.113429194445598,0.295166286264551,-2.37255703439985,0.0199223685119419,"*"
"Drought","HYS","spatial_rarity:Durationperennial",0.620018709994803,-0.307131834043154,1.54716925403276,0.466310671993069,1.32962582079618,0.187198902455499," "
"Drought","CHY","(Intercept)",0.412643721648137,-0.252734130599801,1.07802157389608,0.333261399397818,1.2381983703896,0.220028801385592," "
"Drought","CHY","spatial_rarity",-0.873028676207639,-1.94583696896667,0.199779616551397,0.53732716188641,-1.62476185484961,0.108979803357258," "
"Drought","CHY","Durationperennial",-0.500640959048931,-1.21757060447648,0.216288686378614,0.359081649769032,-1.39422596328983,0.167925384409534," "
"Drought","CHY","spatial_rarity:Durationperennial",1.1554234390672,-0.0318621608646934,2.3427090389991,0.594664308680267,1.94298433957037,0.0562854576996725,"."
"Drought","SGS","(Intercept)",0.0994423209701007,-0.412857749204396,0.611742391144598,0.254029876433624,0.391459155774082,0.697391075404229," "
"Drought","SGS","spatial_rarity",-0.293358510825588,-1.39228315403106,0.805566132379883,0.544914411642114,-0.538357042056465,0.593106627939983," "
