"","period","site","term","estimate","std.error","statistic","p.value","signif"
"1","Drought","KNZ","(Intercept)",-0.521610237494837,0.143610538445603,-3.6321167174818,0.000560507023542954,"***"
"2","Drought","KNZ","spatial_rarity",1.0747325070032,0.257088319462415,4.18040193055261,9.01173654660373e-05,"***"
"3","Drought","HYS","(Intercept)",-0.36890411632985,0.10742437212907,-3.43408212697407,0.000897051221951256,"***"
"4","Drought","HYS","spatial_rarity",1.20189830408488,0.187955129790319,6.39460229377994,6.79637626001564e-09,"***"
"5","Drought","CHY","(Intercept)",-0.00735861108476203,0.126094021844309,-0.0583581281422514,0.953634523548693," "
"6","Drought","CHY","spatial_rarity",0.0346177729903194,0.230063446901451,0.150470548262055,0.880838839726324," "
"7","Drought","SGS","(Intercept)",-0.127628803119958,0.165157798682888,-0.77276885583231,0.443528180126081," "
"8","Drought","SGS","spatial_rarity",-0.0330108287063652,0.302243777040695,-0.109219217115331,0.9134936094398," "
"9","Drought","SBL","(Intercept)",-0.0288025702598456,0.12502885909515,-0.230367376526456,0.818603212791608," "
"10","Drought","SBL","spatial_rarity",0.898635322847039,0.243710509391044,3.68730640747683,0.000495187208678919,"***"
"11","Drought","SBK","(Intercept)",-0.562764777691741,0.143869436076548,-3.91163538996783,0.000272058478863934,"***"
"12","Drought","SBK","spatial_rarity",1.61089109708819,0.274734351135323,5.86344987596666,3.35407392040083e-07,"***"
"13","Post-Drought","KNZ","(Intercept)",-0.452182438443674,0.141040164708216,-3.2060543844312,0.00211462559270758,"**"
"14","Post-Drought","KNZ","spatial_rarity",1.04547132784916,0.250180130663991,4.17887433775986,9.19890820320564e-05,"***"
"15","Post-Drought","HYS","(Intercept)",-0.262001482318017,0.106751361446658,-2.454315137226,0.0162320430517083,"*"
"16","Post-Drought","HYS","spatial_rarity",1.147879899045,0.204773586978456,5.60560527352471,2.71325773644958e-07,"***"
"17","Post-Drought","CHY","(Intercept)",-0.138247771504784,0.128070198212202,-1.07946870883825,0.284192854103837," "
"18","Post-Drought","CHY","spatial_rarity",0.341312564776801,0.233722945344963,1.46032972617661,0.148804515318331," "
"19","Post-Drought","SGS","(Intercept)",-0.0393613325982846,0.18063139154488,-0.217909701418121,0.828554746260453," "
"20","Post-Drought","SGS","spatial_rarity",-0.13344193997348,0.347822950138877,-0.38364903730533,0.703173874387446," "
"21","Post-Drought","SBL","(Intercept)",-0.0451257806559646,0.129695233180692,-0.347937079484605,0.728801286826438," "
"22","Post-Drought","SBL","spatial_rarity",0.851620982797728,0.217334757295221,3.91847578084767,0.000186769075980936,"***"
"23","Post-Drought","SBK","(Intercept)",-0.277657153348314,0.159331356638707,-1.7426397364953,0.0862760450462554,"."
"24","Post-Drought","SBK","spatial_rarity",0.877413588730592,0.299097707397309,2.93353498549246,0.00466903033643617,"**"
