"period","rarity","type","Estimate","Std. Error","df","t value","Pr(>|t|)","signif"
"Drought","Spatial","(Intercept)",-0.31,0.09,8.97,-3.4,0.008,"**"
"Drought","Spatial","spatial_rarity",0.87,0.1,392.64,8.49,0,"***"
"Drought","Temporal","(Intercept)1",-0.23,0.07,9.37,-3.26,0.009,"**"
"Drought","Temporal","temporal_rarity",0.72,0.09,396.78,8.42,0,"***"
"Post-Drought","Spatial","(Intercept)2",-0.24,0.07,14.38,-3.17,0.007,"**"
"Post-Drought","Spatial","spatial_rarity1",0.76,0.1,419.22,7.33,0,"***"
"Post-Drought","Temporal","(Intercept)3",-0.14,0.06,15.34,-2.44,0.027,"*"
"Post-Drought","Temporal","temporal_rarity1",0.57,0.09,373.19,6.51,0,"***"
